Title,Author,Price,Stars,URL
The Alchemist,Paulo Coelho,₹243.74,4.6 out of 5 stars,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,₹340.00,4.8 out of 5 stars,https://www.amazon.in/Bhagavad-Gita-Original-English-As/dp/B07MDTX8BR/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,₹190.00,4.5 out of 5 stars,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
Meditations,Marcus Aurelius,₹99.00,4.3 out of 5 stars,https://www.amazon.in/Meditations-Marcus-Aurelius/dp/8175994754/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
"MTG 36 Years NEET Previous Year Solved Question Papers with NEET PYQ Chapterwise Topicwise Solutions - Physics, Chemistry & Biology For NEET Exam 2024 | Get Free access of Smart Book (Set of 3 Books)",MTG Editorial Board,₹749.00,4.4 out of 5 stars,https://www.amazon.in/Previous-Question-Chapterwise-Topicwise-Solutions/dp/935555897X/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
The Hidden Hindu (Hindi Translation of The Hidden Hindu) Paperback,Akshat Gupta,₹142.00,4.5 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Hindi-Translation/dp/9355213794/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
"Make Money With Chart Patterns: A Complete Trading Guide for Stock Market | Proven Chart Patterns Trading Method | Pocket Book (Paperback, Sunil Gurjar (Chartmojo) and Vijay Thakkar (Master In One))",Sunil Gurjar (Chartmojo),₹299.00,5.0 out of 5 stars,https://www.amazon.in/Make-Money-Chart-Patterns-Paperback/dp/8196476108/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
Autobiography of A Yogi (Hindi),Paramahansa Yogananda,₹179.00,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-HINDI-Paramahansa-Yogananda/dp/9389432472/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
Mahagatha: 100 Tales from the Puranas,Satyarth Nayak,₹257.00,4.7 out of 5 stars,https://www.amazon.in/Mahagatha-Tales-Puranas-Satyarth-Nayak/dp/9356294496/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
Rich Dad Poor Dad ( Original & Complete) Hindi,Robert T. Kiyosaki,₹223.00,4.5 out of 5 stars,https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,₹206.00,4.6 out of 5 stars,https://www.amazon.in/Tuesdays-Morrie-greatest-lesson-Paperback/dp/0751527378/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,₹203.00,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
"The Hidden Hindu: Science-Fiction meets Indian mythology in a nail biting thriller set in 2020 [Paperback] Gupta, Akshat",Akshat Gupta,₹157.00,4.4 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
"Story Books for Kids (Set of 5 Books) (Illustrated) - Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,₹120.00,4.5 out of 5 stars,https://www.amazon.in/Story-Books-Kids-Set-Illustrated/dp/8196149921/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
"Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 1 Pen +1 Grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",Sank Magic,₹113.00,3.9 out of 5 stars,https://www.amazon.in/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/9551753437/ref=zg_bs_g_books_sccl_16/000-0000000-0000000?psc=1
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,₹250.00,4.5 out of 5 stars,https://www.amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_g_books_sccl_17/000-0000000-0000000?psc=1
Shlokas and Mantras For Kids - Illustrated Padded Board Book - Learn About India's Rich Culture and,Wonder House Books,₹198.00,4.7 out of 5 stars,https://www.amazon.in/Shlokas-Mantras-Kids-Illustrated-Tradition/dp/9354405169/ref=zg_bs_g_books_sccl_18/000-0000000-0000000?psc=1
Hindus in Hindu Rashtra (Eighth-Class Citizens and Victims of State- Sanctioned Apartheid),Anand Ranganathan,₹259.00,4.8 out of 5 stars,https://www.amazon.in/Rashtra-Eighth-Class-Citizens-Sanctioned-Apartheid/dp/9392209479/ref=zg_bs_g_books_sccl_19/000-0000000-0000000?psc=1
Shlokas and Mantras Activity Book For Kids Illustrated Book With Engaging Activities and Sticker Sheets,Wonder House Books,₹149.00,4.7 out of 5 stars,https://www.amazon.in/Shlokas-Mantras-Activity-Illustrated-Activities/dp/935440524X/ref=zg_bs_g_books_sccl_20/000-0000000-0000000?psc=1
The Hidden Hindu + The Hidden Hindu 2 + The Hidden Hindu 3,Product Bundle,₹487.00,4.6 out of 5 stars,https://www.amazon.in/Hidden-Hindu/dp/B0CBQ9VM1V/ref=zg_bs_g_books_sccl_21/000-0000000-0000000?psc=1
Janalakal,Anish Mohan,₹190.00,4.6 out of 5 stars,https://www.amazon.in/Janalakal-Anish-Mohan/dp/9359133329/ref=zg_bs_g_books_sccl_22/000-0000000-0000000?psc=1
The Power of A Positive Attitude: Your Road To Success,Roger Fritz,₹98.00,4.4 out of 5 stars,https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_g_books_sccl_23/000-0000000-0000000?psc=1
"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET Books (Latest & Revised Edition 2023-2024)",MTG Editorial Board,₹602.00,4.5 out of 5 stars,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Biology/dp/9355555946/ref=zg_bs_g_books_sccl_24/000-0000000-0000000?psc=1
Animal Stories for Panchtantra 84 pp English 8x8 Book 1,Wonder House Books,₹188.00,4.5 out of 5 stars,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_books_sccl_25/000-0000000-0000000?psc=1
"Quantitative Aptitude for Competitive Examinations All Government and Entrance Exams (Banking, SSC, Railway, Police, Civil Service, etc.) 40 Videos | 2000+ Solved Examples | 10000+ Practice Questions",R. S Aggarwal,₹440.00,4.3 out of 5 stars,https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Revised/dp/9355012322/ref=zg_bs_g_books_sccl_26/000-0000000-0000000?psc=1
The Richest Man In Babylon - Fingerprint!,George S. Clason,₹98.00,4.5 out of 5 stars,https://www.amazon.in/Richest-Man-Babylon-George-Clason/dp/9388144317/ref=zg_bs_g_books_sccl_27/000-0000000-0000000?psc=1
INDIAN ECONOMY -2024,AJAY PATEL,₹540.00,Not Available,https://www.amazon.in/INDIAN-ECONOMY-2024-AJAY-PATEL/dp/B0CLKHVVWB/ref=zg_bs_g_books_sccl_28/000-0000000-0000000?psc=1
KARMA: A YOGI'S GUIDE TO CRAFTING YOUR DESTINY,Sadhguru,₹175.00,4.7 out of 5 stars,https://www.amazon.in/KARMA-YOGIS-GUIDE-CRAFTING-DESTINY/dp/0143452673/ref=zg_bs_g_books_sccl_29/000-0000000-0000000?psc=1
Autobiography of a Yogi in Hindi | Yogi Kathamrit | Ek Yogi Ki Atmakatha | Paramahansa Yogananda Hindi | Yogi Book,Paramahansa Yogananda,₹109.00,4.7 out of 5 stars,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B09C745BCM/ref=zg_bs_g_books_sccl_30/000-0000000-0000000?psc=1
"Oswal - Gurukul Last Years 10 Solved Papers for CBSE Class 10 Exam 2024 - Yearwise Board Solutions of Math Standard, English, Science & Social Science (All Sets Delhi & Outside), Latest Syllabus",Oswal - Gurukul,₹663.00,4.4 out of 5 stars,https://www.amazon.in/Oswal-Yearwise-Solutions-Standard-Syllabus/dp/8119151089/ref=zg_bs_g_books_sccl_1/000-0000000-0000000?psc=1
Arthashastra,KAUTILYA,₹198.00,4.4 out of 5 stars,https://www.amazon.in/Arthashastra-Kautilya/dp/9354403700/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
The Compound Effect,Darren Hardy,₹232.00,4.6 out of 5 stars,https://www.amazon.in/Compound-Effect-Darren-Hardy/dp/9390924634/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,₹239.00,4.6 out of 5 stars,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
"Best Books Series Set of 3 Hidden Hindu Triology | The Hidden Hindu + The Hidden Hindu 2 + The Hidden Hindu 3 | Saat Chiranjeevi ""सात चिरंजीवी"" Book in Hindi by Akshat Gupta- PB",Akshat Gupta,₹477.00,Not Available,https://www.amazon.in/Hidden-Triology-Chiranjeevi-%E0%A4%9A%E0%A4%BF%E0%A4%B0%E0%A4%82%E0%A4%9C%E0%A5%80%E0%A4%B5%E0%A5%80-Akshat/dp/B0CK3Y94R9/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
29 Previous Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2023) 14th Edition | General Studies & Aptitude (CSAT) PYQs Question Bank |,Mrunal Patel,₹415.00,4.3 out of 5 stars,https://www.amazon.in/Previous-Services-Prelims-Topic-wise-Solved/dp/9355646488/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study For Beginners,Unknown Binding,₹229.00,4.1 out of 5 stars,https://www.amazon.in/Trading-Breakout-Pattern-Candlestick-Beginners/dp/B09Z85R4SW/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,₹83.00,4.4 out of 5 stars,https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
"My First 1000 Words : Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Tr",Wonder House Books,₹158.00,4.5 out of 5 stars,https://www.amazon.in/First-1000-Words-Transport-Professions/dp/9388144112/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
AUTOBIOGRAPHY OF A YOGI,Paramahansa Yogananda,₹183.00,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8129145367/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
All In One Class 10th Social Science for CBSE Exam 2024,Farah Sultan Aditya Raj ,₹329.00,4.2 out of 5 stars,https://www.amazon.in/Class-10th-Social-Science-Exam-2024/dp/9350106000/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
As a Man Thinketh,James Allen,₹68.00,4.4 out of 5 stars,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,₹135.00,4.5 out of 5 stars,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
1001 Ultimate Brain Booster Activities for 3 to 6 Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,₹259.00,4.6 out of 5 stars,https://www.amazon.in/Ultimate-Brain-Booster-Activities-Years/dp/8131958248/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
"My First Learning Library Box Set [ Includes 20 Board Books] – Early Learning Books for Children with Well-researched Bright Images | Introduction to Basic Topics | Builds Child’s Vocabulary | Improves Hand-Eye Coordination, Recognition Skills and Enhances Visual Motor Skills | Round Corners for Safety| Sturdy Board Material",Wonder House Books,₹784.00,4.6 out of 5 stars,https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
Encyclopedia: Amazing Questions & Answers Science,Om Books Editorial Team,₹126.00,4.5 out of 5 stars,https://www.amazon.in/Amazing-Question-Answers-Science-Editorial/dp/9352763068/ref=zg_bs_g_books_sccl_16/000-0000000-0000000?psc=1
Oswaal CBSE Class 10 Science Question Bank (For 2024 Board Exams),Oswaal Editorial Board,₹477.00,4.4 out of 5 stars,https://www.amazon.in/Oswaal-CBSE-Class-Science-Question/dp/9356349010/ref=zg_bs_g_books_sccl_17/000-0000000-0000000?psc=1
1800+ Reward Stickers Ideal For Teachers And Parents Sticker Book With Over 1800 Stickers to Boost The Morale of Kids,Wonder House Books,₹158.00,4.5 out of 5 stars,https://www.amazon.in/1800-Reward-Stickers-Teachers-Parents/dp/9388810740/ref=zg_bs_g_books_sccl_18/000-0000000-0000000?psc=1
"BRAIN GAMES FOR CLEVER KIDS [Paperback] Moore, Gareth",Gareth Moore,₹139.00,4.3 out of 5 stars,https://www.amazon.in/BRAIN-GAMES-CLEVER-Paperback-Gareth/dp/1780552491/ref=zg_bs_g_books_sccl_19/000-0000000-0000000?psc=1
Think and Grow Rich THE 21st CENTURY EDITION,Napoleon Hill,₹98.00,4.5 out of 5 stars,https://www.amazon.in/Think-Grow-Rich-21st-CENTURY/dp/9389931525/ref=zg_bs_g_books_sccl_20/000-0000000-0000000?psc=1
